"ID","Nome","Etiqueta","Proprietário","Pessoas","Negócios em aberto","Organização criada","Atualizado em","Visível para","Próxima atividade em","Data da última atividade","Negócios ganhos","Negócios perdidos","Negócios fechados","Total de atividades","Atividades concluídas","Atividades para fazer","Número de mensagens de e-mail","Foto de perfil","Endereço","Latitude de Endereço","Longitude de Endereço","Nº de apartamento de Endereço","Número da casa de Endereço","Nome da rua de Endereço","Distrito/sub-localidade de Endereço","Cidade/município/vila/localidade de Endereço","Estado de Endereço","Região de Endereço","País de Endereço","CEP/Código postal de Endereço","Endereço completo/combinado de Endereço","Etiquetas","[IC] Linkedin (Company Page)","CNPJ"
"4180","o k empreendimentos construcoes e servicos ltda","","Nicholson","1","0","2024-07-02 22:56:13","2024-07-02 22:56:15","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","FORTALEZA, CE","","","","","","","","","","","","","","",""
"4181","limpa sp","","Nicholson","1","0","2024-07-02 22:56:15","2024-07-02 22:56:17","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4182","rm2 engenharia","","Nicholson","1","0","2024-07-02 22:56:15","2024-07-02 22:56:16","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4183","club de tiro 9mm","","Nicholson","1","0","2024-07-02 22:56:15","2024-07-02 22:56:18","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4184","Bravo Servicos Logisticos Ltda - Cuiab�","","Nicholson","2","0","2024-07-02 22:56:16","2024-07-02 22:59:31","Grupo de visibilidade do proprietário do item","","","2","1","3","0","0","0","0","","","","","","","","","","","","","","","","",""
"4185","bravo servicos logisticos ltda","","Nicholson","1","0","2024-07-02 22:56:16","2024-07-02 22:56:18","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","DOURADOS, MS","","","","","","","","","","","","","","",""
"4186","GELF SIDERURGIA S/A","","Nicholson","1","0","2024-07-02 22:56:16","2024-07-02 22:56:19","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4187","transpipeline","","Nicholson","1","0","2024-07-02 22:56:17","2024-07-02 22:56:19","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4188","cbf","","Nicholson","1","0","2024-07-02 22:56:17","2024-07-02 22:56:19","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","JOAO NEIVA, ES","","","","","","","","","","","","","","",""
"4189","br consultoria medica ltda","","Nicholson","1","0","2024-07-02 22:56:17","2024-07-02 22:56:19","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","RIO DE JANEIRO, RJ","","","","","","","","","","","","","","",""
"4190","JALLES MACHADO S.A. - UOL","","Nicholson","1","0","2024-07-02 22:56:19","2024-07-02 22:56:21","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4191","imetame energia s.a","","Nicholson","1","0","2024-07-02 22:56:19","2024-07-02 22:56:21","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","LINHARES, ES","","","","","","","","","","","","","","",""
"4192","a l force comercial","","Nicholson","1","0","2024-07-02 22:56:20","2024-07-02 22:56:22","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","ROLANDIA, PR","","","","","","","","","","","","","","",""
"4193","francis jose chehuan & cia ltda","","Nicholson","2","0","2024-07-02 22:56:20","2024-07-02 22:56:26","Grupo de visibilidade do proprietário do item","","","1","1","2","0","0","0","0","","MANAUS, AM","","","","","","","","","","","","","","",""
"4194","grupo jpm","","Nicholson","1","0","2024-07-02 22:56:21","2024-08-23 14:18:37","Grupo de visibilidade do proprietário do item","","2024-08-23","0","2","2","3","3","0","0","","","","","","","","","","","","","","","","",""
"4195","foruz logistica","","Nicholson","1","0","2024-07-02 22:56:21","2024-07-02 22:56:24","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","CAMPINAS, SP","","","","","","","","","","","","","","",""
"4196","kaizen logística @","","Nicholson","1","0","2024-07-02 22:56:21","2024-07-02 22:56:24","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4197","grupo atem (rodoamazonia) @","","Nicholson","1","0","2024-07-02 22:56:23","2024-07-02 22:56:26","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4198","MECBRUN - Industria e Comercio Ltda","","Nicholson","3","2","2024-07-02 22:56:23","2026-01-23 15:07:49","Grupo de visibilidade do proprietário do item","2025-03-21","2025-03-17","5","0","5","5","2","3","0","","","","","","","","","","","","","","","","","01.899.414/0001-67"
"4199","transguto transporte rodoviario ltda","","Nicholson","1","0","2024-07-02 22:56:23","2024-07-02 22:56:26","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","DUQUE DE CAXIAS, RJ","","","","","","","","","","","","","","",""
"4200","sigma logistica @","","Nicholson","1","0","2024-07-02 22:56:23","2024-07-07 09:15:46","Grupo de visibilidade do proprietário do item","","2024-07-07","0","1","1","2","2","0","0","","SANTOS, SP","","","","","","","","","","","","","","",""
"4201","via dupla transportes","","Nicholson","1","0","2024-07-02 22:56:25","2025-02-13 18:47:53","Grupo de visibilidade do proprietário do item","","2025-02-04","0","1","1","7","7","0","0","","","","","","","","","","","","","","","","",""
"4202","mfj prestadora de serviços eireli","","Nicholson","1","0","2024-07-02 22:56:25","2024-07-04 17:48:02","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4203","INTERCEMENT BRASIL S.A - Cajati","","Nicholson","1","0","2024-07-02 22:56:26","2024-07-02 22:56:28","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4204","vix td","","Nicholson","1","0","2024-07-02 22:56:27","2024-07-02 22:56:30","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","CARIACICA, ES","","","","","","","","","","","","","","",""
"4205","consorcio bel cabula","","Nicholson","1","0","2024-07-02 22:56:27","2024-07-02 22:56:30","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","SALVADOR, BA","","","","","","","","","","","","","","",""
"4206","raizen caarapo acucar e alcool ltda","","Nicholson","1","0","2024-07-02 22:56:27","2024-07-02 22:56:30","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4207","consorcio bel cabula","","Nicholson","1","0","2024-07-02 22:56:28","2024-07-02 22:56:30","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4208","jl tools @","","Nicholson","1","0","2024-07-02 22:56:28","2024-07-02 22:56:30","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","SANTO ANDRE, SP","","","","","","","","","","","","","","",""
"4209","rodomeu","","Nicholson","1","0","2024-07-02 22:56:28","2024-07-02 22:56:30","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4210","busato @","","Nicholson","1","0","2024-07-02 22:56:30","2024-07-02 22:56:32","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4211","m douglas","","Nicholson","1","0","2024-07-02 22:56:30","2024-07-02 22:56:32","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","SAO PAULO, SP","","","","","","","","","","","","","","",""
"4212","contexto consultoria e  empreendimentos ltda","","Nicholson","1","0","2024-07-02 22:56:30","2024-07-02 22:56:32","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4213","distribuidora alfredense @","","Nicholson","1","0","2024-07-02 22:56:30","2024-07-02 22:56:32","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","ALFREDO CHAVES, ES","","","","","","","","","","","","","","",""
"4214","construtora castilho","","Nicholson","1","0","2024-07-02 22:56:32","2024-07-02 22:56:34","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4215","órgão de gestão de mão-de-obra do trabalho portuário avulso do porto organizado do rio grande @","","Nicholson","1","0","2024-07-02 22:56:32","2024-07-02 22:56:34","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","RIO GRANDE, RS","","","","","","","","","","","","","","",""
"4216","emal calcario e mineração  @","","Nicholson","1","0","2024-07-02 22:56:32","2024-07-02 22:56:34","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4217","marazul empreendimentos","","Nicholson","1","0","2024-07-02 22:56:32","2024-07-02 22:56:34","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","SAO CRISTOVAO, SE","","","","","","","","","","","","","","",""
"4218","scheffer","","Nicholson","1","0","2024-07-02 22:56:32","2024-07-02 22:56:34","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4219","flama suprimentos industriais ltda  @","","Nicholson","1","0","2024-07-02 22:56:34","2024-07-02 22:56:36","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4220","urja social - tecnologia, gestao e operacao ltda.","","Nicholson","1","0","2024-07-02 22:56:34","2024-07-02 22:56:36","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","OLINDA, PE","","","","","","","","","","","","","","",""
"4221","transjoi","","Nicholson","0","0","2024-07-02 22:56:34","2024-07-02 22:58:13","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","JOINVILLE, SC","","","","","","","","","","","","","","",""
"4222","trato","","Nicholson","1","0","2024-07-02 22:56:34","2024-07-02 22:56:36","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4223","bravo servicos logisticos ltda","","Nicholson","1","0","2024-07-02 22:56:34","2024-07-02 22:56:36","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","QUERENCIA, MT","","","","","","","","","","","","","","",""
"4224","prefeitura municipal de guarulhos – s.p.","","Nicholson","1","0","2024-07-02 22:56:34","2024-07-02 22:56:36","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","GUARULHOS, SP","","","","","","","","","","","","","","",""
"4225","rv ferreira radiadores","","Nicholson","1","0","2024-07-02 22:56:34","2024-07-02 22:56:36","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4226","molifer","","Nicholson","1","0","2024-07-02 22:56:36","2024-07-02 22:56:38","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","ACAILANDIA, MA","","","","","","","","","","","","","","",""
"4227","apac - pelotas @","","Nicholson","1","0","2024-07-02 22:56:36","2024-07-02 22:56:38","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4228","aco cearense industrial ltda","","Nicholson","1","0","2024-07-02 22:56:38","2024-07-02 22:56:40","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4229","mg3 comercio de bebidas ltda","","Nicholson","1","0","2024-07-02 22:56:38","2024-07-02 22:56:40","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","MOGI-GUACU, SP","","","","","","","","","","","","","","",""
"4230","azevedo transportes e locacao","","Nicholson","1","0","2024-07-02 22:56:38","2024-07-02 22:56:40","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","CAMACARI, BA","","","","","","","","","","","","","","",""
"4231","mm souza","","Nicholson","1","0","2024-07-02 22:56:38","2024-07-02 22:56:40","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4232","maqshow","","Nicholson","1","0","2024-07-02 22:56:38","2024-07-02 22:56:40","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4233","dois a","","Nicholson","1","0","2024-07-02 22:56:38","2024-07-02 22:56:44","Grupo de visibilidade do proprietário do item","","","1","1","2","0","0","0","0","","NATAL","","","","","","","","","","","","","","",""
"4234","vmi brasil locacoes de veiculos ltda","","Nicholson","1","0","2024-07-02 22:56:38","2024-07-02 22:56:40","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","BELO HORIZONTE, MG","","","","","","","","","","","","","","",""
"4235","suero terraplenagem e locacao","","Nicholson","1","0","2024-07-02 22:56:38","2024-07-02 22:56:40","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","CAJATI, SP","","","","","","","","","","","","","","",""
"4236","usina santa isabel","","Nicholson","1","0","2024-07-02 22:56:40","2024-07-02 22:56:42","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4237","zenilda reboucas de almeida ltda","","Nicholson","1","0","2024-07-02 22:56:40","2024-07-02 22:56:42","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","FEIRA DE SANTANA, BA","","","","","","","","","","","","","","",""
"4238","Wm Montagem","","Nicholson","1","0","2024-07-02 22:56:40","2024-07-02 22:56:44","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","NIQUELANDIA","","","","","","","","","","","","","","",""
"4239","TIETE AGROINDUSTRIAL S.A. - Ubarana","","Nicholson","1","0","2024-07-02 22:56:42","2025-11-26 15:53:33","Grupo de visibilidade do proprietário do item","","2025-11-25","1","0","1","1","1","0","0","","","","","","","","","","","","","","","","",""
"4240","JSL S/A - Tr�s Lagoas","","Nicholson","1","0","2024-07-02 22:56:42","2024-07-02 22:56:44","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4241","cisreuno","","Nicholson","1","0","2024-07-02 22:56:42","2024-07-02 22:56:44","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4242","mimo","","Nicholson","1","0","2024-07-02 22:56:42","2024-07-02 22:56:44","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","VARZEA PAULISTA, SP","","","","","","","","","","","","","","",""
"4243","joanes slim","","Nicholson","1","0","2024-07-02 22:56:44","2024-07-02 22:56:46","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4244","rondobier","","Nicholson","1","0","2024-07-02 22:56:44","2024-07-02 22:56:46","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4245","rhyno transportes","","Nicholson","1","0","2024-07-02 22:56:44","2024-07-14 14:07:06","Grupo de visibilidade do proprietário do item","","2024-07-14","0","1","1","2","2","0","0","","SUMARE, SP","","","","","","","","","","","","","","",""
"4246","gps topografia e engenharia ltda","","Nicholson","1","0","2024-07-02 22:56:44","2024-07-02 22:56:47","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","BELO HORIZONTE, MG","","","","","","","","","","","","","","",""
"4247","ecorodovias","","Nicholson","1","0","2024-07-02 22:56:44","2024-07-02 22:56:47","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4248","eurochem @","","Nicholson","1","0","2024-07-02 22:56:44","2024-07-02 22:56:48","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4249","cbs infraestrutura e comercio ltda","","Nicholson","1","0","2024-07-02 22:56:46","2024-07-02 22:56:48","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","CURITIBA, PR","","","","","","","","","","","","","","",""
"4250","petrodollar","","Nicholson","1","0","2024-07-02 22:56:46","2024-07-02 22:56:48","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4251","rm2 engenharia ltda @","","Nicholson","1","0","2024-07-02 22:56:46","2024-07-02 22:56:48","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4252","ic transportes","","Nicholson","1","0","2024-07-02 22:56:46","2024-07-15 00:22:28","Grupo de visibilidade do proprietário do item","","2024-07-15","0","1","1","2","2","0","0","","","","","","","","","","","","","","","","",""
"4253","hungaro transportes","","Nicholson","1","0","2024-07-02 22:56:48","2024-07-07 13:16:16","Grupo de visibilidade do proprietário do item","","2024-07-07","0","1","1","2","2","0","0","","","","","","","","","","","","","","","","",""
"4254","viação ouro e prata","","Nicholson","1","0","2024-07-02 22:56:48","2024-07-02 22:56:50","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4255","zulma","","Nicholson","1","0","2024-07-02 22:56:48","2024-07-02 22:56:50","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4256","sipolly construtora de obras ltda","","Nicholson","1","0","2024-07-02 22:56:48","2024-07-02 22:56:50","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","CURITIBA, PR","","","","","","","","","","","","","","",""
"4257","5⁰ batalhão de polícia rodoviária de sorocaba","","Nicholson","1","0","2024-07-02 22:56:49","2024-07-02 22:56:51","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4258","mizu cimentos","","Nicholson","1","0","2024-07-02 22:56:50","2024-07-02 22:56:52","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4259","Cofco Internacional Brasil S.A.","","Nicholson","1","0","2024-07-02 22:56:50","2024-07-15 17:37:49","Grupo de visibilidade do proprietário do item","","2024-07-15","1","0","1","1","1","0","0","","","","","","","","","","","","","","","","",""
"4260","rio sul construcoes","","Nicholson","1","0","2024-07-02 22:56:51","2024-07-02 22:56:53","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","VASSOURAS, RJ","","","","","","","","","","","","","","",""
"4261","arilub","","Nicholson","1","0","2024-07-02 22:56:51","2024-07-02 22:56:53","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4262","essencis - geyse","","Nicholson","1","0","2024-07-02 22:56:52","2024-07-02 22:56:54","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4263","fribon fertilizantes @","","Nicholson","1","0","2024-07-02 22:56:52","2024-07-02 22:56:54","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4264","grupo bramam @","","Nicholson","1","0","2024-07-02 22:56:52","2024-07-02 22:56:55","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4265","elementis","","Nicholson","1","0","2024-07-02 22:56:53","2024-07-15 17:18:20","Grupo de visibilidade do proprietário do item","","2024-07-15","1","0","1","1","1","0","0","","PALMITAL, SP","","","","","","","","","","","","","","",""
"4266","rkm servicos","","Nicholson","1","0","2024-07-02 22:56:53","2024-07-02 22:56:55","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","FORTALEZA, CE","","","","","","","","","","","","","","",""
"4267","katrium ind. químicas s/a","","Nicholson","1","0","2024-07-02 22:56:53","2024-07-15 17:59:11","Grupo de visibilidade do proprietário do item","","2024-07-15","1","0","1","2","2","0","0","","RIO DE JANEIRO, RJ","","","","","","","","","","","","","","",""
"4268","enequipa","","Nicholson","1","0","2024-07-02 22:56:54","2024-07-02 22:56:56","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4269","armac locação, logistica e serviços s.a","","Nicholson","1","0","2024-07-02 22:56:54","2024-07-02 22:56:57","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4270","mineração tabocas","","Nicholson","1","0","2024-07-02 22:56:54","2024-07-02 22:56:57","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4271","friere vendas e serviços","","Nicholson","1","0","2024-07-02 22:56:55","2024-07-02 22:56:57","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4272","cosme pacheco","","Nicholson","1","0","2024-07-02 22:56:56","2024-07-02 22:56:59","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4273","cpam7","","Nicholson","1","0","2024-07-02 22:56:56","2024-07-02 22:56:59","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","GUARULHOS, SP","","","","","","","","","","","","","","",""
"4274","calsimec industria e comercio ltda","","Nicholson","1","0","2024-07-02 22:56:56","2024-07-02 22:56:59","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","ARAXA, MG","","","","","","","","","","","","","","",""
"4275","votorantim cimentos - henrique","","Nicholson","1","0","2024-07-02 22:56:57","2024-07-02 22:56:59","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4276","munhoz instalacoes","","Nicholson","1","0","2024-07-02 22:56:58","2024-07-02 22:57:01","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","SOROCABA, SP","","","","","","","","","","","","","","",""
"4277","belov engenharia s.a.","","Nicholson","1","0","2024-07-02 22:56:58","2024-07-02 22:57:01","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","SIMOES FILHO","","","","","","","","","","","","","","",""
"4278","expressobr transportes e logistica ltda","","Nicholson","1","0","2024-07-02 22:56:59","2024-07-02 22:57:01","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4279","servilub solucoes em performance de ativos","","Nicholson","1","0","2024-07-02 22:56:59","2024-07-02 22:57:03","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","ARACRUZ, ES","","","","","","","","","","","","","","",""
"4280","facilit comercio e suprimentos","","Nicholson","1","0","2024-07-02 22:57:01","2024-07-02 22:57:03","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","MAUA, SP","","","","","","","","","","","","","","",""
"4281","tereos","","Nicholson","1","0","2024-07-02 22:57:01","2024-07-02 22:57:03","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4282","comercial goldoni","","Nicholson","1","0","2024-07-02 22:57:03","2024-07-02 22:57:05","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","LARANJAL PAULISTA, SP","","","","","","","","","","","","","","",""
"4283","supremo cimentos s.a.","","Nicholson","1","0","2024-07-02 22:57:03","2024-07-02 22:57:05","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","POMERODE, SC","","","","","","","","","","","","","","",""
"4284","zander","","Nicholson","1","0","2024-07-02 22:57:05","2024-07-02 22:57:07","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","ORIZONA, GO","","","","","","","","","","","","","","",""
"4285","MADERO INDUSTRIA E COMERCIO S.A.","","Nicholson","1","0","2024-07-02 22:57:05","2024-07-02 23:02:06","Grupo de visibilidade do proprietário do item","","","3","0","3","0","0","0","0","","","","","","","","","","","","","","","","",""
"4286","sk epis equipamentos de seguranca","","Nicholson","1","0","2024-07-02 22:57:05","2024-07-02 22:57:07","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","MINACU","","","","","","","","","","","","","","",""
"4287","nexa recursos minerais s.a.","","Nicholson","1","0","2024-07-02 22:57:05","2024-07-02 22:57:07","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","VAZANTE, MG","","","","","","","","","","","","","","",""
"4288","fertilizantes heringer","","Nicholson","1","0","2024-07-02 22:57:05","2024-07-02 22:57:07","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4289","repipe engenharia","","Nicholson","1","0","2024-07-02 22:57:05","2024-07-02 22:57:07","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4290","plamont - planejamento montagem e engenharia ltda","","Nicholson","1","0","2024-07-02 22:57:07","2024-07-02 22:57:09","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","NOVA LIMA, MG","","","","","","","","","","","","","","",""
"4291","fábio machado","","Nicholson","1","0","2024-07-02 22:57:07","2024-07-02 22:57:09","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4292","VIX Transportes Dedicados LTDA","","Nicholson","1","0","2024-07-02 22:57:07","2024-07-02 22:57:09","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4293","jmn mineração","","Nicholson","1","0","2024-07-02 22:57:09","2024-07-02 22:57:11","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4294","Votorantim Cimentos S.a. - Cantagalo","","Nicholson","2","0","2024-07-02 22:57:09","2024-07-02 23:01:51","Grupo de visibilidade do proprietário do item","","","3","0","3","0","0","0","0","","","","","","","","","","","","","","","","",""
"4295","minasol","","Nicholson","1","0","2024-07-02 22:57:09","2024-07-02 22:57:11","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4296","polimix concreto ltda","","Nicholson","1","0","2024-07-02 22:57:09","2024-07-02 22:57:13","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4297","rumo malha central s.a.","","Nicholson","1","0","2024-07-02 22:57:09","2024-07-02 22:57:13","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","RIO VERDE, GO","","","","","","","","","","","","","","",""
"4298","policia rodoviaria - sp","","Nicholson","1","0","2024-07-02 22:57:09","2024-07-02 22:57:13","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4299","miranda & mendelsohn","","Nicholson","1","0","2024-07-02 22:57:09","2024-07-02 22:57:13","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4300","votorantim - adelmir","","Nicholson","1","0","2024-07-02 22:57:11","2024-07-31 18:21:22","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4301","Votorantim Cimentos S.a. - Itapecerica da Serra","","Nicholson","1","0","2024-07-02 22:57:13","2024-07-02 22:57:15","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4302","grupo monto","","Nicholson","1","0","2024-07-02 22:57:13","2024-07-02 22:57:15","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4303","sg produtos","","Nicholson","1","0","2024-07-02 22:57:13","2024-07-02 22:57:15","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"4304","frigoterra","","Nicholson","1","0","2024-07-02 22:57:13","2024-07-02 22:57:15","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
